nameQL,countResults
startItem,-1
AlertSuppression.ql,1
NewArrayDeleteMismatch.ql,1
ReturnValueIgnored.ql,17
DescriptorMayNotBeClosed.ql,1
LargeParameter.ql,1
OverflowDestination.ql,1
MemoryMayNotBeFreed.ql,8
Unused.ql,322
InconsistentNullnessTesting.ql,45
FileMayNotBeClosed.ql,22
NotInitialised.ql,82
UseAfterFree.ql,1
MemoryNeverFreed.ql,12
OverflowCalculated.ql,1
NewDeleteArrayMismatch.ql,1
DeadCodeFunction.ql,16
InitialisationNotRun.ql,4
DescriptorNeverClosed.ql,1
LateNegativeTest.ql,1
DeadCodeGoto.ql,1
MissingNegativityTest.ql,21
NewFreeMismatch.ql,1
SizeCheck2.ql,1
OverflowStatic.ql,1
SizeCheck.ql,1
FileNeverClosed.ql,5
MissingNullTest.ql,513
ReturnStackAllocatedObject.ql,1
DeadCodeCondition.ql,298
LinesOfUserCode.ql,2
LinesOfCode.ql,2
Stats.ql,2
Debug.ql,1
PreparedStagedPointsTo.ql,2
TaintedFormatStrings.ql,3
TaintedPath.ql,32
UnsignedDifferenceExpressionComparedZero.ql,1
TOCTOUFilesystemRace.ql,8
IRUntrustedDataToExternalAPI.ql,421
CountUntrustedDataToExternalAPI.ql,38
UntrustedDataToExternalAPI.ql,113
IRCountUntrustedDataToExternalAPI.ql,63
PotentiallyDangerousFunction.ql,1
DangerousUseOfCin.ql,1
DangerousFunctionOverflow.ql,1
UncontrolledProcessOperation.ql,1
UseOfHttp.ql,1
MemsetMayBeDeleted.ql,1
IncorrectAllocationErrorHandling.ql,1
SSLResultNotChecked.ql,1
SSLResultConflation.ql,1
UnreleasedLock.ql,1
TwiceLocked.ql,1
LockOrderCycle.ql,1
CleartextTransmission.ql,12
CleartextBufferWrite.ql,1
CleartextFileWrite.ql,1
BrokenCryptoAlgorithm.ql,13
OpenSslHeartbleed.ql,1
UnsafeCreateProcessCall.ql,1
UnterminatedVarargsCall.ql,1
SqlTainted.ql,1
VeryLikelyOverrunWrite.ql,1
UnboundedWrite.ql,2
OverrunWriteFloat.ql,1
BadlyBoundedWrite.ql,1
OverrunWrite.ql,1
CgiXss.ql,1
NoSpaceForZeroTerminator.ql,1
ArithmeticWithExtremeValues.ql,1
ArithmeticTainted.ql,2174
ArithmeticUncontrolled.ql,1
IntegerOverflowTainted.ql,3929
TaintedAllocationSize.ql,1
ComparisonWithWiderType.ql,1
ConditionallyUninitializedVariable.ql,9
InsufficientKeySize.ql,1
XXE.ql,17
TaintedCondition.ql,1
UnsafeDaclSecurityDescriptor.ql,1
OpenCallMissingModeArgument.ql,1
DoNotCreateWorldWritable.ql,30
PotentiallyExposedSystemData.ql,1
ExposedSystemData.ql,37
ExecTainted.ql,1
UncontrolledFormatString.ql,1
UncontrolledFormatStringThroughGlobalVar.ql,1
ImproperArrayIndexValidation.ql,791
ImproperNullTerminationTainted.ql,11
CleartextSqliteDatabase.ql,1
AuthenticationBypass.ql,121
HResultBooleanConversion.ql,1
InfiniteLoopWithUnsatisfiableExitCondition.ql,1
IncorrectPointerScaling.ql,1
IncorrectPointerScalingChar.ql,1
IncorrectPointerScalingVoid.ql,1
SuspiciousAddWithSizeof.ql,1
WcharCharConversion.ql,1
OverflowBuffer.ql,1
Cleanup-DuplicateIncludeGuard.ql,1
ImproperCheckReturnValueScanf.ql,1
ExposureSensitiveInformationUnauthorizedActor.ql,4
UnsignedToSignedPointerArith.ql,1
IncorrectChangingWorkingDirectory.ql,1
FindIncorrectlyUsedSwitch.ql,2
LateCheckOfFunctionArgument.ql,1
NoCheckBeforeUnsafePutUser.ql,1
InsecureTemporaryFile.ql,1
FindWrapperFunctions.ql,14
OperatorPrecedenceLogicErrorWhenUseBoolType.ql,1
OperatorPrecedenceLogicErrorWhenUseBitwiseOrLogicalOperations.ql,1
PamAuthorization.ql,1
MemoryLeakOnFailedCallToRealloc.ql,1
DangerousUseOfExceptionBlocks.ql,1
DeclarationOfVariableWithUnnecessarilyWideScope.ql,1
UndefinedOrImplementationDefinedBehavior.ql,1
DoubleRelease.ql,1
MemoryUnsafeFunctionScan.ql,1
PrivilegeDroppingOutoforder.ql,1
DangerousUseOfTransformationAfterOperation.ql,1
AllocMultiplicationOverflow.ql,1
DoubleFree.ql,1
PrivateCleartextWrite.ql,1
AccessOfMemoryLocationAfterEndOfBufferUsingStrlen.ql,1
cwetmp.ql,1
double-fetch.ql,1
InsufficientControlFlowManagementWhenUsingBitOperations.ql,1
InsufficientControlFlowManagementAfterRefactoringTheCode.ql,1
DangerousUseSSL_shutdown.ql,1
FindIncorrectlyUsedExceptions.ql,1
RedundantNullCheckParam.ql,17
WrongUintAccess.ql,1
UselessTest.ql,2
UseInOwnInitializer.ql,1
RedundantNullCheckSimple.ql,1
InconsistentCheckReturnNull.ql,1
ReturnConstTypeMember.ql,1
NestedLoopSameVar.ql,1
ReturnConstType.ql,1
InconsistentCallOnResult.ql,1
ShortLoopVarName.ql,88
AmbiguouslySignedBitField.ql,1
ContinueInFalseLoop.ql,1
UsingExpiredStackAddress.ql,1
StackAddressEscapes.ql,7
ReturnCstrOfLocalStdString.ql,1
NtohlArrayNoBound.ql,1
PointerOverflow.ql,1
SuspiciousCallToMemset.ql,3
UnsafeUseOfStrcat.ql,9
StrncpyFlippedArgs.ql,1
ImproperNullTermination.ql,1
SuspiciousSizeof.ql,1
ReturnStackAllocatedMemory.ql,1
UninitializedLocal.ql,5
PotentialBufferOverflow.ql,1
SuspiciousCallToStrncat.ql,1
AllocaInLoop.ql,1
More64BitWaste.ql,147
NonPortablePrintf.ql,1
Suboptimal64BitType.ql,65
UseOfDeprecatedHardcodedProtocol.ql,1
TlsSettingsMisconfiguration.ql,1
UncheckedReturnValueForTimeFunctions.ql,1
UnsafeArrayForDaysOfYear.ql,1
UncheckedLeapYearAfterYearModification.ql,1
Adding365DaysPerYear.ql,1
SelfAssignmentCheck.ql,1
VirtualCallInStructor.ql,1
UnsafeUseOfThis.ql,1
NonVirtualDestructor.ql,1
ThrowInDestructor.ql,1
NonVirtualDestructorInBaseClass.ql,1
IncorrectConstructorDelegation.ql,1
MissingEnumCaseInSwitch.ql,1
FutileConditional.ql,17
ExprHasNoEffect.ql,4
DubiousNullCheck.ql,1
UsingStrcpyAsBoolean.ql,1
LogicalExprCouldBeSimplified.ql,1
AssignWhereCompareMeant.ql,1
CompareWhereAssignMeant.ql,1
BoolValueInBitOp.ql,3
ShortCircuitBitMask.ql,1
inconsistentLoopDirection.ql,1
IncorrectNotOperatorUsage.ql,3
ConstructorOrMethodWithExactEraDate.ql,1
StructWithExactEraDate.ql,1
PointlessComparison.ql,17
BitwiseSignCheck.ql,1
FloatComparison.ql,28
IntMultToLong.ql,9
PointlessSelfComparison.ql,1
BadCheckOdd.ql,3
UnsignedGEZero.ql,2
SignedOverflowCheck.ql,1
BadAdditionOverflowCheck.ql,1
ComparisonPrecedence.ql,1
ComparisonWithCancelingSubExpr.ql,1
TooManyArguments.ql,1
ImplicitFunctionDeclaration.ql,2
TooFewArguments.ql,1
MistypedFunctionArguments.ql,1
SnprintfOverflow.ql,1
WrongTypeFormatArguments.ql,1
TooManyFormatArguments.ql,1
WrongNumberOfFormatArguments.ql,1
NonConstantFormat.ql,9
BlockWithTooManyStatements.ql,1
RuleOfThree.ql,1
SwitchLongCase.ql,204
ComplexCondition.ql,21
RuleOfTwo.ql,1
NVI.ql,1
SloppyGlobal.ql,1
NVIHub.ql,1
JapaneseEraDate.ql,1
MagicConstantsString.ql,1
MagicNumbersUseConstant.ql,1
MagicConstantsNumbers.ql,181
MagicStringsUseConstant.ql,1
DeclarationHidesVariable.ql,1
DeclarationHidesParameter.ql,1
LocalVariableHidesGlobalVariable.ql,1
LeakyCatch.ql,1
AccidentalRethrow.ql,1
ThrowingPointers.ql,1
CatchingByValue.ql,1
EmptyBlock.ql,13
OffsetUseBeforeRangeCheck.ql,1
Slicing.ql,1
UnusedStaticFunctions.ql,11
UnusedStaticVariables.ql,4
UnusedLocals.ql,1
UnusedIncludes.ql,46
FailedExtractorInvocations.ql,1
SuccessfullyExtractedFiles.ql,188
ExtractionWarnings.ql,161
ExtractionErrors.ql,161
ClassifyFiles.ql,10
IgnoreReturnValueSAL.ql,1
InconsistentSAL.ql,1
CallWithNullSAL.ql,1
UncommentedFunction.ql,68
FixmeComments.ql,22
CommentedOutCode.ql,315
DocumentApi.ql,2336
TodoComments.ql,1907
DangerousWorksWithMultibyteOrWideCharacters.ql,1
IncorrectPrivilegeAssignment.ql,1
ArrayAccessProductFlow.ql,1
OverrunWriteProductFlow.ql,15
MissingCheckScanf.ql,3
InvalidPointerDeref.ql,1
GlobalUseBeforeInit.ql,-1
